timestamp,rps,error_rate,p95_latency_ms
2026-05-06T23:51:37Z,0.2,0.0,22.75
2026-05-06T23:51:42Z,0.2,0.0,22.5
2026-05-06T23:51:47Z,0.2,0.0,21.625
2026-05-06T23:51:52Z,0.2,0.0,21.625
2026-05-06T23:51:57Z,1.0,0.0,20.5
2026-05-06T23:52:02Z,1.0,0.0,22.15
2026-05-06T23:52:08Z,0.2,0.0,37.5
2026-05-06T23:52:13Z,0.2,0.0,38.75
2026-05-06T23:52:18Z,0.2,0.0,37.5
2026-05-06T23:52:23Z,0.2,0.0,38.75
2026-05-06T23:52:28Z,0.2,0.0,21.625
2026-05-06T23:52:33Z,0.7,0.0,21.25
2026-05-06T23:52:38Z,0.7,0.0,21.5
2026-05-06T23:52:43Z,0.2,0.0,21.625
2026-05-06T23:52:48Z,0.2,0.0,21.25
2026-05-06T23:52:53Z,0.2,0.0,21.625
2026-05-06T23:52:58Z,0.2,0.0,21.625
2026-05-06T23:53:03Z,0.2,0.0,37.5
2026-05-06T23:53:08Z,0.2,0.0,44.375
2026-05-06T23:53:13Z,0.2,0.0,38.75
2026-05-06T23:53:18Z,0.3001,0.0,18.25
2026-05-06T23:53:23Z,0.4,0.0,20.875
2026-05-06T23:53:28Z,0.3,0.0,22.25
2026-05-06T23:53:33Z,0.2,0.0,22.0
2026-05-06T23:53:38Z,0.2,0.0,38.75
2026-05-06T23:53:43Z,0.2,0.0,37.5
2026-05-06T23:53:48Z,0.2,0.0,21.625
2026-05-06T23:53:53Z,0.2,0.0,21.625
2026-05-06T23:53:58Z,0.2,0.0,21.25
2026-05-06T23:54:03Z,0.2,0.0,21.625
2026-05-06T23:54:08Z,0.2,0.0,22.75
2026-05-06T23:54:13Z,0.2,0.0,62.5
2026-05-06T23:54:18Z,0.2,0.0,63.75
2026-05-06T23:54:23Z,0.2,0.0,21.625
2026-05-06T23:54:28Z,0.2,0.0,21.625
2026-05-06T23:54:33Z,0.2,0.0,20.5
2026-05-06T23:54:38Z,0.2,0.0,4.75
2026-05-06T23:54:43Z,0.2,0.0,4.75
2026-05-06T23:54:48Z,0.2,0.0,4.75
2026-05-06T23:54:53Z,0.2,0.0,4.75
2026-05-06T23:54:58Z,0.2,0.0,4.75
2026-05-06T23:55:03Z,0.2,0.0,22.75
2026-05-06T23:55:08Z,0.2,0.0,62.5
2026-05-06T23:55:13Z,0.4,0.0,58.75
2026-05-06T23:55:18Z,0.4,0.0,22.75
2026-05-06T23:55:23Z,0.2,0.0,22.75
2026-05-06T23:55:28Z,0.2,0.0,21.625
2026-05-06T23:55:33Z,0.2,0.0,37.5
2026-05-06T23:55:38Z,0.3,0.0,37.5
2026-05-06T23:55:43Z,0.3,0.0,21.25
2026-05-06T23:55:48Z,0.2,0.0,37.5
2026-05-06T23:55:53Z,0.2,0.0,38.75
2026-05-06T23:55:58Z,0.2,0.0,21.625
2026-05-06T23:56:03Z,0.9,0.0,13.75
2026-05-06T23:56:08Z,0.9,0.0,30.0
2026-05-06T23:56:13Z,0.2,0.0,36.25
2026-05-06T23:56:18Z,0.2,0.0,37.5
2026-05-06T23:56:23Z,0.2,0.0,40.0
2026-05-06T23:56:28Z,0.2,0.0,19.0
2026-05-06T23:56:33Z,0.2,0.0,21.625
2026-05-06T23:56:39Z,0.2,0.0,38.75
2026-05-06T23:56:44Z,0.2,0.0,37.5
2026-05-06T23:56:49Z,0.2,0.0,21.625
2026-05-06T23:56:54Z,0.2,0.0,38.75
2026-05-06T23:56:59Z,0.2,0.0,37.5
2026-05-06T23:57:04Z,0.2,0.0,21.625
2026-05-06T23:57:09Z,0.2,0.0,22.75
2026-05-06T23:57:14Z,0.2,0.0,43.75
2026-05-06T23:57:19Z,0.2,0.0,20.5
2026-05-06T23:57:24Z,0.2,0.0,9.0
2026-05-06T23:57:29Z,0.2,0.0,4.75
2026-05-06T23:57:34Z,0.2,0.0,4.75
2026-05-06T23:57:39Z,0.2,0.0,4.75
2026-05-06T23:57:44Z,0.2,0.0,36.25
2026-05-06T23:57:49Z,0.4,0.0,30.0
2026-05-06T23:57:54Z,0.4,0.0,20.875
2026-05-06T23:57:59Z,0.2,0.0,38.75
2026-05-06T23:58:04Z,0.2,0.0,62.5
2026-05-06T23:58:09Z,0.2,0.0,63.75
2026-05-06T23:58:14Z,0.2,0.0,38.75
2026-05-06T23:58:19Z,0.3,0.0,37.5
2026-05-06T23:58:24Z,0.5,0.0,22.0
2026-05-06T23:58:29Z,0.4,0.0,35.0
2026-05-06T23:58:34Z,0.2,0.0,37.5
2026-05-06T23:58:39Z,0.2,0.0,21.625
2026-05-06T23:58:44Z,0.2,0.0,21.625
2026-05-06T23:58:49Z,0.2,0.0,21.25
2026-05-06T23:58:54Z,0.2,0.0,21.625
2026-05-06T23:58:59Z,0.2,0.0,38.75
2026-05-06T23:59:04Z,0.2,0.0,43.75
2026-05-06T23:59:09Z,0.2,0.0,38.75
2026-05-06T23:59:14Z,0.2,0.0,38.75
2026-05-06T23:59:19Z,0.2,0.0,37.5
2026-05-06T23:59:24Z,0.2,0.0,21.625
2026-05-06T23:59:29Z,0.2,0.0,38.75
2026-05-06T23:59:34Z,0.2,0.0,37.5
2026-05-06T23:59:39Z,0.2,0.0,21.625
2026-05-06T23:59:44Z,0.7,0.0,19.75
2026-05-06T23:59:49Z,0.6,0.0,19.75
2026-05-06T23:59:54Z,0.1,0.0,22.0
2026-05-06T23:59:59Z,0.2,0.0,38.75
2026-05-07T00:00:04Z,0.2,0.0,44.375
2026-05-07T00:00:09Z,0.2,0.0,63.75
2026-05-07T00:00:14Z,0.2,0.0,62.5
2026-05-07T00:00:19Z,0.2,0.0,38.75
2026-05-07T00:00:24Z,0.2,0.0,21.625
2026-05-07T00:00:29Z,0.2,0.0,37.5
2026-05-07T00:00:34Z,0.2,0.0,38.75
2026-05-07T00:00:39Z,0.2,0.0,21.625
2026-05-07T00:00:45Z,0.2,0.0,37.5
2026-05-07T00:00:50Z,0.2,0.0,38.75
2026-05-07T00:00:55Z,0.2,0.0,21.625
2026-05-07T00:01:00Z,0.2,0.0,37.5
2026-05-07T00:01:05Z,0.2,0.0,62.5
2026-05-07T00:01:10Z,3.0,0.0,12.25
2026-05-07T00:01:15Z,3.0,0.0,11.5
2026-05-07T00:01:20Z,0.2,0.0,37.5
2026-05-07T00:01:25Z,0.2,0.0,21.625
2026-05-07T00:01:30Z,0.2,0.0,38.75
2026-05-07T00:01:35Z,0.2,0.0,38.75
